city_do_nm,date,dscamt
서울특별시,2021-06-02,479393077
서울특별시,2021-06-03,382715595
서울특별시,2021-06-04,506193040
서울특별시,2021-06-05,498842146
서울특별시,2021-06-06,631117740
서울특별시,2021-06-07,542451419
서울특별시,2021-06-08,492827472
서울특별시,2021-06-09,486150669
서울특별시,2021-06-10,461296965
서울특별시,2021-06-11,483420343
서울특별시,2021-06-12,529935698
서울특별시,2021-06-13,642853846
서울특별시,2021-06-14,577475094
서울특별시,2021-06-15,492084235
서울특별시,2021-06-16,495580879
서울특별시,2021-06-17,476133906
서울특별시,2021-06-18,452126470
서울특별시,2021-06-19,534647688
서울특별시,2021-06-20,635855805
서울특별시,2021-06-21,576464965
서울특별시,2021-06-22,492243859
서울특별시,2021-06-23,484924080
서울특별시,2021-06-24,484524201
서울특별시,2021-06-25,476593686
서울특별시,2021-06-26,521303568
서울특별시,2021-06-27,612279646
서울특별시,2021-06-28,578095122
서울특별시,2021-06-29,507051923
서울특별시,2021-06-30,500730048
서울특별시,2021-07-01,500807980
서울특별시,2021-07-02,487637410
서울특별시,2021-07-03,450255562
서울특별시,2021-07-04,701012330
서울특별시,2021-07-05,585200026
서울특별시,2021-07-06,508091326
서울특별시,2021-07-07,493207975
서울특별시,2021-07-08,515110462
서울특별시,2021-07-09,499413555
서울특별시,2021-07-10,581148042
서울특별시,2021-07-11,699984405
서울특별시,2021-07-12,607317872
서울특별시,2021-07-13,556173837
서울특별시,2021-07-14,552000248
서울특별시,2021-07-15,540290022
서울특별시,2021-07-16,518159536
서울특별시,2021-07-17,590293934
서울특별시,2021-07-18,696883918
서울특별시,2021-07-19,599082665
서울특별시,2021-07-20,551012033
서울특별시,2021-07-21,557014404
서울특별시,2021-07-22,552735146
서울특별시,2021-07-23,526892423
서울특별시,2021-07-24,591415492
서울특별시,2021-07-25,677423410
서울특별시,2021-07-26,581245285
서울특별시,2021-07-27,535055800
서울특별시,2021-07-28,513887930
서울특별시,2021-07-29,512028898
서울특별시,2021-07-30,494759304
서울특별시,2021-07-31,546225447
